Time,U_y,U_b
-2.495000e-03,-2.539467e+00,5.160000e-01
-2.490000e-03,-2.547067e+00,5.068000e-01
-2.485000e-03,-2.550533e+00,4.856000e-01
-2.480000e-03,-2.564400e+00,4.702667e-01
-2.475000e-03,-2.533067e+00,4.638667e-01
-2.470000e-03,-2.544667e+00,4.348000e-01
-2.465000e-03,-2.542400e+00,4.181333e-01
-2.460000e-03,-2.534267e+00,3.970667e-01
-2.455000e-03,-2.538933e+00,3.884000e-01
-2.450000e-03,-2.526133e+00,3.764000e-01
-2.445000e-03,-2.540000e+00,3.656000e-01
-2.440000e-03,-2.541200e+00,3.581333e-01
-2.435000e-03,-2.539467e+00,3.324000e-01
-2.430000e-03,-2.523733e+00,3.284000e-01
-2.425000e-03,-2.531867e+00,3.089333e-01
-2.420000e-03,-2.538933e+00,3.009333e-01
-2.415000e-03,-2.536000e+00,2.866667e-01
-2.410000e-03,-2.529600e+00,2.769333e-01
-2.405000e-03,-2.545867e+00,2.564000e-01
-2.400000e-03,-2.536533e+00,2.369333e-01
-2.395000e-03,-2.544667e+00,2.242667e-01
-2.390000e-03,-2.540000e+00,2.082667e-01
-2.385000e-03,-2.539467e+00,1.974667e-01
-2.380000e-03,-2.541200e+00,1.774667e-01
-2.375000e-03,-2.536533e+00,1.705333e-01
-2.370000e-03,-2.541200e+00,1.625333e-01
-2.365000e-03,-2.537733e+00,1.545333e-01
-2.360000e-03,-2.543467e+00,1.340000e-01
-2.355000e-03,-2.540667e+00,1.076000e-01
-2.350000e-03,-2.536533e+00,1.100000e-01
-2.345000e-03,-2.537200e+00,9.226667e-02
-2.340000e-03,-2.527333e+00,7.906666e-02
-2.335000e-03,-2.538933e+00,6.306667e-02
-2.330000e-03,-2.538933e+00,4.586667e-02
-2.325000e-03,-2.547600e+00,3.560000e-02
-2.320000e-03,-2.541200e+00,2.866667e-02
-2.315000e-03,-2.542400e+00,1.266667e-02
-2.310000e-03,-2.540000e+00,-2.133333e-03
-2.305000e-03,-2.552800e+00,-1.706667e-02
-2.300000e-03,-2.543467e+00,-2.386667e-02
-2.295000e-03,-2.527333e+00,-2.786667e-02
-2.290000e-03,-2.549333e+00,-4.786667e-02
-2.285000e-03,-2.547067e+00,-6.333333e-02
-2.280000e-03,-2.531867e+00,-7.426666e-02
-2.275000e-03,-2.547067e+00,-7.826667e-02
-2.270000e-03,-2.544667e+00,-8.906667e-02
-2.265000e-03,-2.540667e+00,-1.028000e-01
-2.260000e-03,-2.534267e+00,-1.200000e-01
-2.255000e-03,-2.538933e+00,-1.308000e-01
-2.250000e-03,-2.543467e+00,-1.417333e-01
-2.245000e-03,-2.546400e+00,-1.530667e-01
-2.240000e-03,-2.543467e+00,-1.680000e-01
-2.235000e-03,-2.547067e+00,-1.840000e-01
-2.230000e-03,-2.541200e+00,-1.817333e-01
-2.225000e-03,-2.544133e+00,-2.080000e-01
-2.220000e-03,-2.545867e+00,-2.114667e-01
-2.215000e-03,-2.533600e+00,-2.142667e-01
-2.210000e-03,-2.551600e+00,-2.354667e-01
-2.205000e-03,-2.545200e+00,-2.486667e-01
-2.200000e-03,-2.552800e+00,-2.504000e-01
-2.195000e-03,-2.546400e+00,-2.624000e-01
-2.190000e-03,-2.540000e+00,-2.777333e-01
-2.185000e-03,-2.533067e+00,-2.784000e-01
-2.180000e-03,-2.541200e+00,-3.006667e-01
-2.175000e-03,-2.544133e+00,-3.069333e-01
-2.170000e-03,-2.548133e+00,-3.144000e-01
-2.165000e-03,-2.544667e+00,-3.384000e-01
-2.160000e-03,-2.543467e+00,-3.441333e-01
-2.155000e-03,-2.538267e+00,-3.606667e-01
-2.150000e-03,-2.536533e+00,-3.624000e-01
-2.145000e-03,-2.542933e+00,-3.761333e-01
-2.140000e-03,-2.543467e+00,-3.808000e-01
-2.135000e-03,-2.547067e+00,-3.990667e-01
-2.130000e-03,-2.540000e+00,-3.990667e-01
-2.125000e-03,-2.533600e+00,-4.138667e-01
-2.120000e-03,-2.538933e+00,-4.356000e-01
-2.115000e-03,-2.541200e+00,-4.236000e-01
-2.110000e-03,-2.550533e+00,-4.425333e-01
-2.105000e-03,-2.534267e+00,-4.465334e-01
-2.100000e-03,-2.545867e+00,-4.562667e-01
-2.095000e-03,-2.552800e+00,-4.797333e-01
-2.090000e-03,-2.541200e+00,-4.825333e-01
-2.085000e-03,-2.552267e+00,-4.980000e-01
-2.080000e-03,-2.555067e+00,-4.973333e-01
-2.075000e-03,-2.538933e+00,-5.128000e-01
-2.070000e-03,-2.550533e+00,-5.168000e-01
-2.065000e-03,-2.550533e+00,-5.374666e-01
-2.060000e-03,-2.545867e+00,-5.362667e-01
-2.055000e-03,-2.537200e+00,-5.392000e-01
-2.050000e-03,-2.540000e+00,-5.580000e-01
-2.045000e-03,-2.537733e+00,-5.677333e-01
-2.040000e-03,-2.559733e+00,-5.820000e-01
-2.035000e-03,-2.548800e+00,-5.860000e-01
-2.030000e-03,-2.547067e+00,-5.957333e-01
-2.025000e-03,-2.551067e+00,-6.049333e-01
-2.020000e-03,-2.545867e+00,-6.232000e-01
-2.015000e-03,-2.551067e+00,-6.232000e-01
-2.010000e-03,-2.535467e+00,-6.324000e-01
-2.005000e-03,-2.541200e+00,-6.357334e-01
-2.000000e-03,-2.548133e+00,-6.529334e-01
-1.995000e-03,2.411467e+00,-6.277333e-01
-1.990000e-03,2.424267e+00,-6.152000e-01
-1.985000e-03,2.422533e+00,-6.060000e-01
-1.980000e-03,2.406800e+00,-5.889333e-01
-1.975000e-03,2.406267e+00,-5.660000e-01
-1.970000e-03,2.404533e+00,-5.522667e-01
-1.965000e-03,2.405600e+00,-5.414667e-01
-1.960000e-03,2.399867e+00,-5.225334e-01
-1.955000e-03,2.416133e+00,-5.065333e-01
-1.950000e-03,2.409200e+00,-4.985333e-01
-1.945000e-03,2.405067e+00,-4.813333e-01
-1.940000e-03,2.418400e+00,-4.722667e-01
-1.935000e-03,2.406267e+00,-4.482667e-01
-1.930000e-03,2.408000e+00,-4.436000e-01
-1.925000e-03,2.407333e+00,-4.293333e-01
-1.920000e-03,2.416133e+00,-4.150667e-01
-1.915000e-03,2.401067e+00,-3.996000e-01
-1.910000e-03,2.408000e+00,-3.830667e-01
-1.905000e-03,2.413200e+00,-3.670667e-01
-1.900000e-03,2.402133e+00,-3.509333e-01
-1.895000e-03,2.410267e+00,-3.424000e-01
-1.890000e-03,2.413733e+00,-3.212000e-01
-1.885000e-03,2.417200e+00,-3.184000e-01
-1.880000e-03,2.418400e+00,-3.006667e-01
-1.875000e-03,2.417200e+00,-2.806667e-01
-1.870000e-03,2.418400e+00,-2.721334e-01
-1.865000e-03,2.412667e+00,-2.657333e-01
-1.860000e-03,2.418400e+00,-2.457333e-01
-1.855000e-03,2.423067e+00,-2.332000e-01
-1.850000e-03,2.416133e+00,-2.252000e-01
-1.845000e-03,2.414933e+00,-2.034667e-01
-1.840000e-03,2.416133e+00,-1.977333e-01
-1.835000e-03,2.411467e+00,-1.657333e-01
-1.830000e-03,2.420800e+00,-1.714667e-01
-1.825000e-03,2.426000e+00,-1.462667e-01
-1.820000e-03,2.420800e+00,-1.497333e-01
-1.815000e-03,2.410933e+00,-1.280000e-01
-1.810000e-03,2.413733e+00,-1.210667e-01
-1.805000e-03,2.409200e+00,-1.045333e-01
-1.800000e-03,2.413733e+00,-9.480000e-02
-1.795000e-03,2.412667e+00,-7.986667e-02
-1.790000e-03,2.425333e+00,-7.760000e-02
-1.785000e-03,2.408533e+00,-5.653333e-02
-1.780000e-03,2.406800e+00,-4.453333e-02
-1.775000e-03,2.408533e+00,-4.160000e-02
-1.770000e-03,2.412667e+00,-2.386667e-02
-1.765000e-03,2.414400e+00,-1.133333e-02
-1.760000e-03,2.411467e+00,1.333333e-03
-1.755000e-03,2.411467e+00,9.333333e-03
-1.750000e-03,2.406800e+00,2.413333e-02
-1.745000e-03,2.417200e+00,3.906667e-02
-1.740000e-03,2.409200e+00,5.160000e-02
-1.735000e-03,2.413733e+00,6.813333e-02
-1.730000e-03,2.410267e+00,7.333333e-02
-1.725000e-03,2.414933e+00,8.880000e-02
-1.720000e-03,2.406800e+00,9.733333e-02
-1.715000e-03,2.405067e+00,1.053333e-01
-1.710000e-03,2.413733e+00,1.122667e-01
-1.705000e-03,2.419600e+00,1.276000e-01
-1.700000e-03,2.416133e+00,1.316000e-01
-1.695000e-03,2.417867e+00,1.500000e-01
-1.690000e-03,2.412667e+00,1.637333e-01
-1.685000e-03,2.409733e+00,1.654667e-01
-1.680000e-03,2.406800e+00,1.705333e-01
-1.675000e-03,2.412000e+00,1.997333e-01
-1.670000e-03,2.409200e+00,1.968000e-01
-1.665000e-03,2.412667e+00,2.072000e-01
-1.660000e-03,2.418400e+00,2.277333e-01
-1.655000e-03,2.419600e+00,2.322667e-01
-1.650000e-03,2.417200e+00,2.460000e-01
-1.645000e-03,2.395200e+00,2.494667e-01
-1.640000e-03,2.404533e+00,2.620000e-01
-1.635000e-03,2.416133e+00,2.780000e-01
-1.630000e-03,2.411467e+00,2.837333e-01
-1.625000e-03,2.419600e+00,2.997333e-01
-1.620000e-03,2.404533e+00,3.124000e-01
-1.615000e-03,2.412000e+00,3.129333e-01
-1.610000e-03,2.408000e+00,3.226667e-01
-1.605000e-03,2.414400e+00,3.221333e-01
-1.600000e-03,2.409200e+00,3.444000e-01
-1.595000e-03,2.408533e+00,3.536000e-01
-1.590000e-03,2.419600e+00,3.741333e-01
-1.585000e-03,2.424800e+00,3.826667e-01
-1.580000e-03,2.423067e+00,3.924000e-01
-1.575000e-03,2.416133e+00,3.970667e-01
-1.570000e-03,2.413733e+00,4.084000e-01
-1.565000e-03,2.427067e+00,4.210667e-01
-1.560000e-03,2.406800e+00,4.176000e-01
-1.555000e-03,2.409733e+00,4.268000e-01
-1.550000e-03,2.408000e+00,4.416000e-01
-1.545000e-03,2.411467e+00,4.428000e-01
-1.540000e-03,2.409200e+00,4.725333e-01
-1.535000e-03,2.407333e+00,4.638667e-01
-1.530000e-03,2.418400e+00,4.840000e-01
-1.525000e-03,2.408000e+00,5.005333e-01
-1.520000e-03,2.423067e+00,5.090667e-01
-1.515000e-03,2.416667e+00,5.153334e-01
-1.510000e-03,2.412667e+00,5.182667e-01
-1.505000e-03,2.416667e+00,5.257334e-01
-1.500000e-03,2.423067e+00,5.228000e-01
-1.495000e-03,-2.538267e+00,5.137333e-01
-1.490000e-03,-2.545867e+00,5.045334e-01
-1.485000e-03,-2.537200e+00,4.942667e-01
-1.480000e-03,-2.543467e+00,4.770667e-01
-1.475000e-03,-2.534267e+00,4.525333e-01
-1.470000e-03,-2.535467e+00,4.416000e-01
-1.465000e-03,-2.537733e+00,4.273333e-01
-1.460000e-03,-2.538933e+00,4.176000e-01
-1.455000e-03,-2.541200e+00,3.906667e-01
-1.450000e-03,-2.536533e+00,3.718667e-01
-1.445000e-03,-2.538267e+00,3.661333e-01
-1.440000e-03,-2.531867e+00,3.376000e-01
-1.435000e-03,-2.534267e+00,3.352000e-01
-1.430000e-03,-2.538933e+00,3.169333e-01
-1.425000e-03,-2.541200e+00,3.066667e-01
-1.420000e-03,-2.524933e+00,2.894667e-01
-1.415000e-03,-2.536000e+00,2.804000e-01
-1.410000e-03,-2.529600e+00,2.689333e-01
-1.405000e-03,-2.534800e+00,2.614667e-01
-1.400000e-03,-2.531867e+00,2.300000e-01
-1.395000e-03,-2.530800e+00,2.282667e-01
-1.390000e-03,-2.533067e+00,2.082667e-01
-1.385000e-03,-2.531333e+00,1.940000e-01
-1.380000e-03,-2.534267e+00,1.797333e-01
-1.375000e-03,-2.524400e+00,1.602667e-01
-1.370000e-03,-2.538933e+00,1.545333e-01
-1.365000e-03,-2.543467e+00,1.390667e-01
-1.360000e-03,-2.541200e+00,1.180000e-01
-1.355000e-03,-2.552267e+00,1.180000e-01
-1.350000e-03,-2.543467e+00,1.088000e-01
-1.345000e-03,-2.543467e+00,9.280000e-02
-1.340000e-03,-2.543467e+00,7.906666e-02
-1.335000e-03,-2.535467e+00,6.933334e-02
-1.330000e-03,-2.533067e+00,5.160000e-02
-1.325000e-03,-2.550533e+00,3.266667e-02
-1.320000e-03,-2.543467e+00,3.333334e-02
-1.315000e-03,-2.540667e+00,1.733333e-02
-1.310000e-03,-2.538933e+00,5.866667e-03
-1.305000e-03,-2.536000e+00,-5.600000e-03
-1.300000e-03,-2.536533e+00,-1.933333e-02
-1.295000e-03,-2.539467e+00,-3.080000e-02
-1.290000e-03,-2.541200e+00,-3.760000e-02
-1.285000e-03,-2.540667e+00,-6.333333e-02
-1.280000e-03,-2.543467e+00,-8.106667e-02
-1.275000e-03,-2.548800e+00,-8.560000e-02
-1.270000e-03,-2.537733e+00,-8.680000e-02
-1.265000e-03,-2.542400e+00,-1.016000e-01
-1.260000e-03,-2.531867e+00,-1.177333e-01
-1.255000e-03,-2.536000e+00,-1.200000e-01
-1.250000e-03,-2.545867e+00,-1.450667e-01
-1.245000e-03,-2.549333e+00,-1.577333e-01
-1.240000e-03,-2.543467e+00,-1.612000e-01
-1.235000e-03,-2.547067e+00,-1.788000e-01
-1.230000e-03,-2.545867e+00,-1.885333e-01
-1.225000e-03,-2.537733e+00,-1.885333e-01
