erro, temperatura atual, integral
2.47, 300.68, 57.9
2.47, 300.68, 58.16
2.47, 300.68, 58.41
2.47, 300.68, 58.66
2.47, 300.68, 58.91
2.47, 300.68, 59.16
2.47, 300.68, 59.41
2.47, 300.68, 59.66
2.47, 300.68, 59.91
2.47, 300.68, 60.16
2.47, 300.68, 60.41
2.47, 300.68, 60.66
2.47, 300.68, 60.91
2.47, 300.68, 61.16
2.47, 300.68, 61.41
2.38, 300.77, 61.66
2.47, 300.68, 61.91
2.47, 300.68, 62.16
2.47, 300.68, 62.41
2.47, 300.68, 62.66
2.47, 300.68, 62.91
2.47, 300.68, 63.16
2.47, 300.68, 63.41
2.38, 300.77, 63.66
2.47, 300.68, 63.9
2.47, 300.68, 64.15
2.47, 300.68, 64.4
2.47, 300.68, 64.65
2.47, 300.68, 64.9
2.47, 300.68, 65.15
2.47, 300.68, 65.4
2.47, 300.68, 65.66
2.47, 300.68, 65.91
2.47, 300.68, 66.15
2.38, 300.77, 66.4
2.47, 300.68, 66.65
2.38, 300.77, 66.89
2.47, 300.68, 67.14
2.38, 300.77, 67.38
2.47, 300.68, 67.63
2.47, 300.68, 67.88
2.47, 300.68, 68.13
2.47, 300.68, 68.38
2.47, 300.68, 68.63
2.38, 300.77, 68.88
2.38, 300.77, 69.12
2.38, 300.77, 69.36
2.38, 300.77, 69.61
2.38, 300.77, 69.85
2.47, 300.68, 70.09
2.38, 300.77, 70.34
2.38, 300.77, 70.58
2.38, 300.77, 70.82
2.38, 300.77, 71.06
2.38, 300.77, 71.31
2.38, 300.77, 71.55
2.38, 300.77, 71.79
2.38, 300.77, 72.03
2.38, 300.77, 72.27
2.38, 300.77, 72.51
2.47, 300.68, 72.76
2.38, 300.77, 73.0
2.38, 300.77, 73.24
2.38, 300.77, 73.48
2.38, 300.77, 73.73
2.38, 300.77, 73.97
2.38, 300.77, 74.21
2.38, 300.77, 74.45
2.38, 300.77, 74.69
2.38, 300.77, 74.93
2.38, 300.77, 75.17
2.38, 300.77, 75.41
2.38, 300.77, 75.65
2.38, 300.77, 75.9
2.38, 300.77, 76.14
2.38, 300.77, 76.38
2.38, 300.77, 76.62
2.38, 300.77, 76.87
2.38, 300.77, 77.11
2.38, 300.77, 77.35
2.38, 300.77, 77.59
2.38, 300.77, 77.83
2.38, 300.77, 78.07
2.38, 300.77, 78.31
2.38, 300.77, 78.55
2.38, 300.77, 78.79
2.38, 300.77, 79.04
2.29, 300.86, 79.28
2.38, 300.77, 79.51
2.38, 300.77, 79.75
2.38, 300.77, 79.99
2.38, 300.77, 80.24
2.38, 300.77, 80.48
2.29, 300.86, 80.71
2.38, 300.77, 80.95
2.38, 300.77, 81.19
2.29, 300.86, 81.43
2.29, 300.86, 81.66
2.29, 300.86, 81.9
2.29, 300.86, 82.13
2.29, 300.86, 82.36
2.29, 300.86, 82.59
2.29, 300.86, 82.82
2.29, 300.86, 83.06
2.29, 300.86, 83.29
2.29, 300.86, 83.52
2.29, 300.86, 83.75
2.29, 300.86, 83.99
2.29, 300.86, 84.22
2.29, 300.86, 84.45
2.29, 300.86, 84.68
2.29, 300.86, 84.92
2.29, 300.86, 85.15
2.29, 300.86, 85.38
2.29, 300.86, 85.61
2.29, 300.86, 85.85
2.29, 300.86, 86.08
2.29, 300.86, 86.31
2.29, 300.86, 86.54
2.29, 300.86, 86.77
2.29, 300.86, 87.01
2.29, 300.86, 87.24
2.29, 300.86, 87.47
2.29, 300.86, 87.71
2.29, 300.86, 87.94
2.29, 300.86, 88.17
2.29, 300.86, 88.4
2.2, 300.95, 88.63
2.2, 300.95, 88.85
2.2, 300.95, 89.07
2.2, 300.95, 89.3
2.29, 300.86, 89.53
2.2, 300.95, 89.75
2.29, 300.86, 89.99
2.2, 300.95, 90.21
2.2, 300.95, 90.44
2.2, 300.95, 90.66
2.2, 300.95, 90.88
2.2, 300.95, 91.1
2.2, 300.95, 91.33
2.2, 300.95, 91.55
2.2, 300.95, 91.77
2.2, 300.95, 91.99
2.2, 300.95, 92.22
2.2, 300.95, 92.44
2.2, 300.95, 92.67
2.2, 300.95, 92.89
2.2, 300.95, 93.11
2.2, 300.95, 93.34
2.2, 300.95, 93.56
2.2, 300.95, 93.78
2.2, 300.95, 94.0
