temperatura atual, tempo
336.15, 1.6224000453948975
336.15, 1.7238304615020752
336.15, 1.82490873336792
336.15, 1.9257962703704834
336.15, 2.0277950763702393
336.15, 2.127937078475952
336.15, 2.228928565979004
336.15, 2.330930471420288
336.15, 2.4326252937316895
336.15, 2.5330233573913574
336.15, 2.634132146835327
336.15, 2.7359251976013184
336.33, 2.836851119995117
336.15, 2.9380178451538086
336.15, 3.040358781814575
336.33, 3.1405293941497803
336.33, 3.241276741027832
336.33, 3.342644691467285
336.15, 3.4435293674468994
336.33, 3.544590711593628
336.33, 3.646685838699341
336.15, 3.748278856277466
336.33, 3.8496155738830566
336.33, 3.951148271560669
336.33, 4.0517706871032715
336.33, 4.1525256633758545
336.15, 4.253718852996826
336.33, 4.3552470207214355
336.33, 4.457276344299316
336.33, 4.558738708496094
336.33, 4.658865213394165
336.15, 4.75986123085022
336.33, 4.861945867538452
336.15, 4.963473081588745
336.33, 5.065277338027954
336.33, 5.166199684143066
336.15, 5.267042636871338
336.15, 5.36831521987915
336.15, 5.4699671268463135
336.15, 5.571162939071655
336.15, 5.672166585922241
336.15, 5.773901462554932
336.33, 5.874814987182617
336.15, 5.975252389907837
336.15, 6.0763139724731445
336.15, 6.178191900253296
336.15, 6.279638051986694
336.33, 6.380916118621826
336.15, 6.482524156570435
336.15, 6.583733558654785
336.15, 6.685667991638184
336.15, 6.7858641147613525
336.52, 6.886911392211914
336.15, 6.989030361175537
336.33, 7.0901947021484375
336.15, 7.190778017044067
336.33, 7.292724132537842
336.33, 7.393660068511963
336.33, 7.494255065917969
336.15, 7.596048831939697
336.15, 7.697119951248169
336.33, 7.79727578163147
336.33, 7.898831367492676
336.33, 8.000000715255737
336.33, 8.102224349975586
336.33, 8.202549457550049
336.33, 8.303632736206055
336.33, 8.404754638671875
336.33, 8.506393909454346
336.33, 8.607738256454468
336.33, 8.709002017974854
336.33, 8.80959177017212
336.33, 8.910813331604004
336.33, 9.011502027511597
336.15, 9.112487554550171
336.33, 9.213669776916504
336.33, 9.316497564315796
336.33, 9.416718482971191
336.33, 9.518140316009521
336.33, 9.619303226470947
336.33, 9.720330238342285
336.33, 9.821304559707642
336.33, 9.92206621170044
336.33, 10.023653268814087
336.33, 10.12399935722351
336.33, 10.22493052482605
336.33, 10.32646632194519
336.33, 10.427064657211304
336.33, 10.528432369232178
336.33, 10.630358695983887
336.33, 10.731684446334839
336.15, 10.833115339279175
336.33, 10.934694051742554
336.33, 11.035467147827148
336.33, 11.136082172393799
336.33, 11.237345218658447
336.33, 11.33792233467102
336.33, 11.439416885375977
336.33, 11.54018235206604
336.33, 11.641411066055298
336.33, 11.742562055587769
336.33, 11.843372344970703
336.15, 11.9443941116333
336.33, 12.045291185379028
336.33, 12.147339344024658
336.33, 12.247536659240723
336.15, 12.349701404571533
336.15, 12.45038890838623
336.15, 12.551684617996216
336.15, 12.652888536453247
336.33, 12.75420355796814
336.15, 12.855773687362671
336.33, 12.956465721130371
336.15, 13.057562112808228
336.15, 13.158627033233643
336.33, 13.259446144104004
336.33, 13.360605716705322
336.33, 13.46150803565979
336.33, 13.563024759292603
336.15, 13.664125919342041
336.15, 13.766310930252075
336.15, 13.867594242095947
336.33, 13.968258619308472
336.15, 14.069510459899902
336.15, 14.17092776298523
336.33, 14.271742343902588
336.33, 14.373640060424805
336.15, 14.47424864768982
336.15, 14.575301885604858
336.15, 14.675901174545288
336.33, 14.77688479423523
336.33, 14.878946542739868
336.33, 14.979453563690186
336.33, 15.081857204437256
336.33, 15.182118654251099
336.15, 15.283279418945312
336.33, 15.384387254714966
336.33, 15.485392808914185
336.33, 15.5862557888031
336.15, 15.687042236328125
336.15, 15.788251161575317
336.15, 15.88873028755188
336.15, 15.98974609375
336.15, 16.09086012840271
336.15, 16.191773414611816
336.15, 16.29258966445923
336.15, 16.39449191093445
336.33, 16.494933366775513
336.33, 16.596781015396118
336.15, 16.697265148162842
336.15, 16.79998803138733
336.15, 16.900420427322388
336.15, 17.002040147781372
336.15, 17.103071451187134
336.15, 17.20430016517639
336.15, 17.305948734283447
336.33, 17.406204223632812
336.15, 17.50750184059143
336.15, 17.609329223632812
336.15, 17.710455894470215
336.15, 17.8106427192688
336.15, 17.911694049835205
336.15, 18.012869834899902
336.15, 18.11536717414856
336.15, 18.216350555419922
336.15, 18.317159175872803
336.15, 18.41824769973755
336.15, 18.519178867340088
336.15, 18.620386362075806
336.15, 18.721256971359253
336.15, 18.82223153114319
336.15, 18.923433303833008
336.15, 19.02449679374695
336.15, 19.125126600265503
336.15, 19.227012872695923
336.15, 19.327192783355713
336.15, 19.428125381469727
336.15, 19.52999472618103
336.15, 19.630420923233032
336.15, 19.732922315597534
336.15, 19.833728075027466
336.33, 19.935696840286255
336.15, 20.036646604537964
336.15, 20.13802194595337
336.15, 20.238869428634644
336.15, 20.340251684188843
336.15, 20.440849781036377
335.96, 20.541781902313232
336.15, 20.642823457717896
336.15, 20.744770526885986
336.15, 20.8448965549469
336.15, 20.946385622024536
336.15, 21.048359155654907
336.15, 21.149614095687866
336.15, 21.250283241271973
336.15, 21.35159397125244
336.15, 21.45253348350525
336.15, 21.553590774536133
336.15, 21.654624700546265
336.15, 21.755823612213135
336.15, 21.856858491897583
336.15, 21.957675218582153
336.15, 22.05867338180542
336.15, 22.159664392471313
336.15, 22.261523723602295
336.15, 22.362990617752075
335.96, 22.464211225509644
336.15, 22.566159963607788
336.15, 22.666605234146118
336.15, 22.767945528030396
336.15, 22.868892908096313
336.15, 22.970195770263672
336.15, 23.071613073349
336.15, 23.17298126220703
336.15, 23.274699687957764
336.15, 23.374852895736694
336.15, 23.47589087486267
336.15, 23.57686161994934
336.15, 23.677851676940918
336.15, 23.77886199951172
336.15, 23.880718231201172
336.15, 23.982939958572388
336.15, 24.08317279815674
336.15, 24.184539794921875
336.15, 24.285589456558228
336.15, 24.387218475341797
336.15, 24.487805604934692
336.15, 24.588805198669434
336.15, 24.690064430236816
336.15, 24.79180645942688
336.15, 24.893043279647827
336.15, 24.994070291519165
336.15, 25.094921350479126
336.15, 25.197002410888672
336.15, 25.298311710357666
336.15, 25.399433374404907
336.15, 25.49991726875305
336.15, 25.601194381713867
336.15, 25.702489137649536
336.15, 25.804195642471313
336.15, 25.904836416244507
336.15, 26.006098747253418
336.15, 26.10668969154358
336.15, 26.207751750946045
336.15, 26.308727979660034
336.15, 26.40947961807251
336.15, 26.511241912841797
336.15, 26.61193537712097
336.15, 26.712660312652588
336.15, 26.814674139022827
336.15, 26.915555477142334
335.96, 27.01726198196411
336.15, 27.118358850479126
336.15, 27.220104932785034
336.15, 27.3208167552948
336.15, 27.42266273498535
336.15, 27.523752689361572
336.15, 27.62437129020691
336.15, 27.726065635681152
336.15, 27.82702374458313
