erro, temperatura atual, integral
6.05, 317.1, 143.95
6.17, 316.98, 144.57
6.05, 317.1, 145.19
6.05, 317.1, 145.81
6.05, 317.1, 146.42
6.05, 317.1, 147.04
6.05, 317.1, 147.65
6.05, 317.1, 148.26
6.05, 317.1, 148.88
6.05, 317.1, 149.49
6.05, 317.1, 150.11
6.05, 317.1, 150.73
6.05, 317.1, 151.34
6.05, 317.1, 151.96
6.05, 317.1, 152.57
6.05, 317.1, 153.18
6.05, 317.1, 153.8
6.05, 317.1, 154.42
6.05, 317.1, 155.04
6.05, 317.1, 155.65
6.05, 317.1, 156.26
6.05, 317.1, 156.88
6.05, 317.1, 157.49
6.05, 317.1, 158.11
6.05, 317.1, 158.72
6.05, 317.1, 159.34
6.05, 317.1, 159.95
6.05, 317.1, 160.56
6.05, 317.1, 161.18
6.05, 317.1, 161.8
6.05, 317.1, 162.41
6.17, 316.98, 163.04
6.05, 317.1, 163.66
6.17, 316.98, 164.27
6.05, 317.1, 164.9
6.17, 316.98, 165.52
6.05, 317.1, 166.14
6.05, 317.1, 166.76
6.05, 317.1, 167.37
6.17, 316.98, 167.99
6.17, 316.98, 168.61
6.05, 317.1, 169.24
6.05, 317.1, 169.85
6.05, 317.1, 170.47
6.17, 316.98, 171.1
6.17, 316.98, 171.72
6.05, 317.1, 172.34
6.17, 316.98, 172.96
6.17, 316.98, 173.58
6.05, 317.1, 174.21
6.05, 317.1, 174.82
6.05, 317.1, 175.43
6.05, 317.1, 176.06
6.05, 317.1, 176.67
6.17, 316.98, 177.29
6.17, 316.98, 177.92
6.05, 317.1, 178.53
6.17, 316.98, 179.16
6.17, 316.98, 179.79
6.17, 316.98, 180.41
6.17, 316.98, 181.04
6.17, 316.98, 181.67
6.17, 316.98, 182.3
6.17, 316.98, 182.92
6.05, 317.1, 183.54
6.05, 317.1, 184.16
6.17, 316.98, 184.78
6.05, 317.1, 185.4
6.17, 316.98, 186.02
6.05, 317.1, 186.64
6.05, 317.1, 187.26
6.05, 317.1, 187.87
6.05, 317.1, 188.48
6.05, 317.1, 189.11
6.05, 317.1, 189.72
6.05, 317.1, 190.33
6.05, 317.1, 190.95
6.05, 317.1, 191.56
6.05, 317.1, 192.18
6.05, 317.1, 192.79
6.05, 317.1, 193.4
6.05, 317.1, 194.02
6.05, 317.1, 194.63
6.05, 317.1, 195.25
6.05, 317.1, 195.87
6.05, 317.1, 196.48
6.05, 317.1, 197.1
6.05, 317.1, 197.71
6.05, 317.1, 198.33
5.94, 317.21, 198.94
5.94, 317.21, 199.54
6.05, 317.1, 200.15
5.94, 317.21, 200.76
5.94, 317.21, 201.36
5.94, 317.21, 201.97
6.05, 317.1, 202.58
6.05, 317.1, 203.19
5.94, 317.21, 203.8
6.05, 317.1, 204.41
6.05, 317.1, 205.02
5.94, 317.21, 205.63
5.94, 317.21, 206.24
5.94, 317.21, 206.84
5.94, 317.21, 207.45
5.94, 317.21, 208.05
5.94, 317.21, 208.65
5.94, 317.21, 209.25
5.94, 317.21, 209.86
5.94, 317.21, 210.46
5.94, 317.21, 211.06
5.94, 317.21, 211.66
6.05, 317.1, 212.27
5.94, 317.21, 212.88
5.94, 317.21, 213.48
6.05, 317.1, 214.1
5.94, 317.21, 214.7
5.94, 317.21, 215.31
5.94, 317.21, 215.91
5.94, 317.21, 216.51
5.94, 317.21, 217.12
5.94, 317.21, 217.72
5.94, 317.21, 218.32
5.94, 317.21, 218.93
5.94, 317.21, 219.53
5.94, 317.21, 220.13
5.94, 317.21, 220.74
5.94, 317.21, 221.34
5.94, 317.21, 221.95
5.94, 317.21, 222.55
5.94, 317.21, 223.15
5.94, 317.21, 223.76
5.94, 317.21, 224.35
5.94, 317.21, 224.97
5.94, 317.21, 225.57
5.94, 317.21, 226.17
5.94, 317.21, 226.78
5.94, 317.21, 227.38
5.94, 317.21, 227.98
5.94, 317.21, 228.58
5.94, 317.21, 229.18
5.94, 317.21, 229.79
5.94, 317.21, 230.39
5.94, 317.21, 230.99
5.94, 317.21, 231.6
5.94, 317.21, 232.2
5.94, 317.21, 232.8
5.94, 317.21, 233.41
5.94, 317.21, 234.01
5.94, 317.21, 234.61
5.94, 317.21, 235.21
5.94, 317.21, 235.81
5.94, 317.21, 236.43
5.82, 317.33, 237.02
5.82, 317.33, 237.61
5.94, 317.21, 238.21
5.94, 317.21, 238.81
5.82, 317.33, 239.41
5.82, 317.33, 240.0
5.82, 317.33, 240.59
5.82, 317.33, 241.19
5.82, 317.33, 241.78
5.82, 317.33, 242.37
5.82, 317.33, 242.96
5.82, 317.33, 243.55
5.82, 317.33, 244.14
5.82, 317.33, 244.73
5.82, 317.33, 245.33
5.82, 317.33, 245.92
5.82, 317.33, 246.51
5.82, 317.33, 247.1
5.82, 317.33, 247.7
5.82, 317.33, 248.29
5.82, 317.33, 248.88
5.82, 317.33, 249.47
5.82, 317.33, 250.06
5.82, 317.33, 250.65
5.82, 317.33, 251.23
5.82, 317.33, 251.83
5.82, 317.33, 252.42
5.82, 317.33, 253.02
5.7, 317.45, 253.6
5.82, 317.33, 254.19
5.82, 317.33, 254.78
5.7, 317.45, 255.36
5.82, 317.33, 255.95
5.82, 317.33, 256.54
5.7, 317.45, 257.13
5.82, 317.33, 257.71
5.82, 317.33, 258.3
5.82, 317.33, 258.89
5.82, 317.33, 259.48
5.82, 317.33, 260.08
5.82, 317.33, 260.67
5.82, 317.33, 261.26
5.7, 317.45, 261.85
5.82, 317.33, 262.43
5.82, 317.33, 263.03
5.82, 317.33, 263.62
5.7, 317.45, 264.2
5.82, 317.33, 264.79
5.82, 317.33, 265.38
5.7, 317.45, 265.97
5.82, 317.33, 266.55
5.82, 317.33, 267.14
5.7, 317.45, 267.73
5.82, 317.33, 268.32
5.7, 317.45, 268.9
5.82, 317.33, 269.48
5.82, 317.33, 270.08
5.82, 317.33, 270.67
5.7, 317.45, 271.26
5.82, 317.33, 271.84
5.82, 317.33, 272.43
5.82, 317.33, 273.02
5.82, 317.33, 273.62
5.82, 317.33, 274.2
5.82, 317.33, 274.8
5.7, 317.45, 275.38
5.82, 317.33, 275.97
5.82, 317.33, 276.56
5.7, 317.45, 277.14
5.82, 317.33, 277.73
5.7, 317.45, 278.32
5.82, 317.33, 278.91
5.82, 317.33, 279.49
5.82, 317.33, 280.08
5.7, 317.45, 280.67
5.7, 317.45, 281.25
5.82, 317.33, 281.83
5.7, 317.45, 282.42
5.82, 317.33, 283.0
5.7, 317.45, 283.59
5.82, 317.33, 284.18
5.7, 317.45, 284.76
5.82, 317.33, 285.35
5.7, 317.45, 285.93
5.7, 317.45, 286.51
5.82, 317.33, 287.1
5.7, 317.45, 287.68
5.7, 317.45, 288.26
5.82, 317.33, 288.85
5.7, 317.45, 289.43
5.82, 317.33, 290.02
5.7, 317.45, 290.6
5.7, 317.45, 291.19
5.7, 317.45, 291.76
5.7, 317.45, 292.34
5.7, 317.45, 292.93
5.7, 317.45, 293.5
5.7, 317.45, 294.08
5.82, 317.33, 294.67
5.7, 317.45, 295.25
5.7, 317.45, 295.84
5.82, 317.33, 296.42
5.7, 317.45, 297.0
5.7, 317.45, 297.59
5.7, 317.45, 298.17
5.7, 317.45, 298.75
5.7, 317.45, 299.33
5.7, 317.45, 299.9
5.7, 317.45, 300.49
5.7, 317.45, 301.07
5.7, 317.45, 301.65
5.7, 317.45, 302.23
5.7, 317.45, 302.81
5.7, 317.45, 303.39
5.59, 317.56, 303.96
5.7, 317.45, 304.53
5.7, 317.45, 305.12
5.7, 317.45, 305.69
5.7, 317.45, 306.27
5.7, 317.45, 306.85
5.7, 317.45, 307.43
5.59, 317.56, 308.0
5.7, 317.45, 308.57
5.7, 317.45, 309.15
5.7, 317.45, 309.74
5.7, 317.45, 310.31
5.7, 317.45, 310.89
5.7, 317.45, 311.47
5.7, 317.45, 312.05
5.7, 317.45, 312.63
5.7, 317.45, 313.2
5.7, 317.45, 313.79
5.7, 317.45, 314.37
5.7, 317.45, 314.94
5.7, 317.45, 315.53
