erro, temperatura atual, integral
2.52, 298.63, 59.85
2.52, 298.63, 60.11
2.52, 298.63, 60.36
2.52, 298.63, 60.62
2.6, 298.55, 60.88
2.52, 298.63, 61.14
2.52, 298.63, 61.39
2.6, 298.55, 61.66
2.52, 298.63, 61.92
2.52, 298.63, 62.17
2.52, 298.63, 62.43
2.52, 298.63, 62.68
2.52, 298.63, 62.94
2.6, 298.55, 63.2
2.52, 298.63, 63.46
2.52, 298.63, 63.71
2.52, 298.63, 63.97
2.52, 298.63, 64.22
2.52, 298.63, 64.48
2.52, 298.63, 64.73
2.52, 298.63, 64.99
2.52, 298.63, 65.24
2.52, 298.63, 65.5
2.52, 298.63, 65.75
2.52, 298.63, 66.01
2.52, 298.63, 66.26
2.52, 298.63, 66.52
2.6, 298.55, 66.78
2.52, 298.63, 67.04
2.52, 298.63, 67.29
2.52, 298.63, 67.55
2.52, 298.63, 67.8
2.52, 298.63, 68.06
2.52, 298.63, 68.31
2.52, 298.63, 68.57
2.52, 298.63, 68.82
2.52, 298.63, 69.08
2.52, 298.63, 69.33
2.52, 298.63, 69.59
2.52, 298.63, 69.84
2.52, 298.63, 70.1
2.52, 298.63, 70.35
2.6, 298.55, 70.61
2.52, 298.63, 70.87
2.52, 298.63, 71.13
2.52, 298.63, 71.38
2.52, 298.63, 71.64
2.52, 298.63, 71.89
2.52, 298.63, 72.15
2.52, 298.63, 72.4
2.52, 298.63, 72.66
2.52, 298.63, 72.91
2.52, 298.63, 73.17
2.52, 298.63, 73.42
2.52, 298.63, 73.68
2.52, 298.63, 73.94
2.52, 298.63, 74.19
2.52, 298.63, 74.45
2.52, 298.63, 74.7
2.52, 298.63, 74.96
2.52, 298.63, 75.21
2.52, 298.63, 75.47
2.52, 298.63, 75.73
2.52, 298.63, 75.98
2.52, 298.63, 76.24
2.52, 298.63, 76.49
2.52, 298.63, 76.75
2.52, 298.63, 77.0
2.52, 298.63, 77.26
2.52, 298.63, 77.51
2.52, 298.63, 77.77
2.52, 298.63, 78.03
2.52, 298.63, 78.28
2.52, 298.63, 78.54
2.52, 298.63, 78.79
2.52, 298.63, 79.05
2.52, 298.63, 79.3
2.52, 298.63, 79.56
2.43, 298.72, 79.81
2.52, 298.63, 80.06
2.52, 298.63, 80.32
2.52, 298.63, 80.57
2.52, 298.63, 80.83
2.52, 298.63, 81.08
2.52, 298.63, 81.34
2.52, 298.63, 81.59
2.52, 298.63, 81.85
2.52, 298.63, 82.1
2.52, 298.63, 82.36
2.52, 298.63, 82.61
2.52, 298.63, 82.87
2.43, 298.72, 83.12
2.43, 298.72, 83.36
2.43, 298.72, 83.61
2.43, 298.72, 83.86
2.52, 298.63, 84.11
2.52, 298.63, 84.36
2.52, 298.63, 84.62
2.52, 298.63, 84.87
2.52, 298.63, 85.13
2.52, 298.63, 85.38
2.43, 298.72, 85.63
2.43, 298.72, 85.88
2.43, 298.72, 86.12
2.43, 298.72, 86.37
2.43, 298.72, 86.62
2.52, 298.63, 86.87
2.52, 298.63, 87.12
2.52, 298.63, 87.38
2.52, 298.63, 87.63
2.52, 298.63, 87.89
2.43, 298.72, 88.14
2.43, 298.72, 88.38
2.43, 298.72, 88.63
2.43, 298.72, 88.88
2.43, 298.72, 89.12
2.52, 298.63, 89.38
2.43, 298.72, 89.63
2.43, 298.72, 89.87
2.52, 298.63, 90.12
2.52, 298.63, 90.38
2.43, 298.72, 90.63
2.43, 298.72, 90.88
2.43, 298.72, 91.12
2.43, 298.72, 91.37
2.52, 298.63, 91.62
2.43, 298.72, 91.87
2.43, 298.72, 92.12
2.43, 298.72, 92.36
2.52, 298.63, 92.61
2.43, 298.72, 92.86
2.43, 298.72, 93.11
2.43, 298.72, 93.36
2.43, 298.72, 93.6
2.43, 298.72, 93.85
2.43, 298.72, 94.09
2.43, 298.72, 94.34
2.43, 298.72, 94.59
2.43, 298.72, 94.83
2.43, 298.72, 95.08
2.43, 298.72, 95.33
2.43, 298.72, 95.57
2.43, 298.72, 95.82
2.43, 298.72, 96.06
2.43, 298.72, 96.31
2.43, 298.72, 96.56
2.43, 298.72, 96.8
2.43, 298.72, 97.05
2.43, 298.72, 97.29
2.43, 298.72, 97.54
2.43, 298.72, 97.79
2.43, 298.72, 98.03
2.43, 298.72, 98.28
2.43, 298.72, 98.52
2.43, 298.72, 98.77
2.43, 298.72, 99.01
2.43, 298.72, 99.26
2.43, 298.72, 99.51
2.43, 298.72, 99.76
2.43, 298.72, 100.0
2.43, 298.72, 100.25
2.43, 298.72, 100.5
2.43, 298.72, 100.74
2.43, 298.72, 100.99
2.43, 298.72, 101.23
2.43, 298.72, 101.48
2.43, 298.72, 101.73
2.43, 298.72, 101.97
2.43, 298.72, 102.22
2.43, 298.72, 102.47
2.43, 298.72, 102.71
2.43, 298.72, 102.96
2.43, 298.72, 103.21
2.43, 298.72, 103.45
2.34, 298.81, 103.69
2.43, 298.72, 103.93
2.43, 298.72, 104.18
2.43, 298.72, 104.43
2.43, 298.72, 104.67
2.43, 298.72, 104.92
2.43, 298.72, 105.17
2.43, 298.72, 105.41
2.43, 298.72, 105.66
2.34, 298.81, 105.9
2.34, 298.81, 106.14
2.34, 298.81, 106.38
2.34, 298.81, 106.61
2.34, 298.81, 106.85
2.34, 298.81, 107.09
2.34, 298.81, 107.32
2.34, 298.81, 107.56
2.34, 298.81, 107.8
2.34, 298.81, 108.04
2.34, 298.81, 108.27
2.34, 298.81, 108.51
2.34, 298.81, 108.75
2.34, 298.81, 108.98
2.34, 298.81, 109.22
2.34, 298.81, 109.46
2.34, 298.81, 109.7
2.43, 298.72, 109.94
2.34, 298.81, 110.18
2.34, 298.81, 110.42
2.34, 298.81, 110.66
2.34, 298.81, 110.89
2.34, 298.81, 111.13
2.34, 298.81, 111.37
2.34, 298.81, 111.61
2.34, 298.81, 111.84
2.34, 298.81, 112.08
2.34, 298.81, 112.32
2.34, 298.81, 112.56
2.34, 298.81, 112.79
2.34, 298.81, 113.03
2.34, 298.81, 113.27
2.34, 298.81, 113.5
2.34, 298.81, 113.74
2.34, 298.81, 113.98
2.34, 298.81, 114.22
2.34, 298.81, 114.46
2.34, 298.81, 114.7
2.34, 298.81, 114.93
2.34, 298.81, 115.17
2.34, 298.81, 115.41
2.34, 298.81, 115.64
2.34, 298.81, 115.88
2.34, 298.81, 116.12
2.34, 298.81, 116.36
2.34, 298.81, 116.59
2.34, 298.81, 116.83
2.34, 298.81, 117.07
2.34, 298.81, 117.31
2.34, 298.81, 117.55
2.34, 298.81, 117.78
2.25, 298.9, 118.02
2.25, 298.9, 118.24
2.34, 298.81, 118.48
2.34, 298.81, 118.72
2.34, 298.81, 118.95
2.25, 298.9, 119.19
2.34, 298.81, 119.42
2.25, 298.9, 119.65
2.25, 298.9, 119.88
2.25, 298.9, 120.11
2.25, 298.9, 120.34
2.25, 298.9, 120.57
2.34, 298.81, 120.8
2.25, 298.9, 121.03
2.25, 298.9, 121.26
2.25, 298.9, 121.49
2.25, 298.9, 121.72
2.25, 298.9, 121.95
2.34, 298.81, 122.18
2.25, 298.9, 122.41
2.25, 298.9, 122.64
2.25, 298.9, 122.87
2.25, 298.9, 123.1
2.25, 298.9, 123.33
2.25, 298.9, 123.56
2.25, 298.9, 123.78
2.25, 298.9, 124.01
2.25, 298.9, 124.24
2.25, 298.9, 124.47
2.25, 298.9, 124.7
2.25, 298.9, 124.93
2.25, 298.9, 125.16
2.25, 298.9, 125.38
