erro, temperatura atual, integral
2.43, 298.72, 56.58
2.43, 298.72, 56.83
2.34, 298.81, 57.07
2.34, 298.81, 57.31
2.43, 298.72, 57.55
2.43, 298.72, 57.8
2.43, 298.72, 58.04
2.43, 298.72, 58.29
2.34, 298.81, 58.53
2.43, 298.72, 58.77
2.34, 298.81, 59.02
2.34, 298.81, 59.25
2.43, 298.72, 59.5
2.34, 298.81, 59.74
2.43, 298.72, 59.98
2.34, 298.81, 60.22
2.43, 298.72, 60.46
2.43, 298.72, 60.71
2.43, 298.72, 60.96
2.43, 298.72, 61.2
2.34, 298.81, 61.45
2.34, 298.81, 61.68
2.34, 298.81, 61.92
2.34, 298.81, 62.16
2.34, 298.81, 62.39
2.34, 298.81, 62.63
2.34, 298.81, 62.87
2.43, 298.72, 63.11
2.43, 298.72, 63.36
2.43, 298.72, 63.6
2.34, 298.81, 63.84
2.34, 298.81, 64.08
2.34, 298.81, 64.32
2.34, 298.81, 64.56
2.34, 298.81, 64.79
2.34, 298.81, 65.03
2.43, 298.72, 65.27
2.34, 298.81, 65.51
2.34, 298.81, 65.75
2.34, 298.81, 65.99
2.34, 298.81, 66.22
2.34, 298.81, 66.46
2.34, 298.81, 66.7
2.25, 298.9, 66.93
2.34, 298.81, 67.16
2.34, 298.81, 67.4
2.34, 298.81, 67.64
2.43, 298.72, 67.88
2.34, 298.81, 68.12
2.34, 298.81, 68.36
2.34, 298.81, 68.59
2.34, 298.81, 68.83
2.34, 298.81, 69.07
2.34, 298.81, 69.3
2.34, 298.81, 69.54
2.34, 298.81, 69.78
2.34, 298.81, 70.02
2.34, 298.81, 70.25
2.34, 298.81, 70.49
2.25, 298.9, 70.72
2.34, 298.81, 70.96
2.34, 298.81, 71.19
2.34, 298.81, 71.43
2.34, 298.81, 71.67
2.34, 298.81, 71.91
2.34, 298.81, 72.14
2.34, 298.81, 72.38
2.43, 298.72, 72.62
2.34, 298.81, 72.86
2.34, 298.81, 73.1
2.34, 298.81, 73.34
2.34, 298.81, 73.57
2.34, 298.81, 73.81
2.34, 298.81, 74.05
2.34, 298.81, 74.28
2.34, 298.81, 74.52
2.34, 298.81, 74.76
2.34, 298.81, 75.0
2.34, 298.81, 75.23
2.34, 298.81, 75.47
2.34, 298.81, 75.71
2.34, 298.81, 75.94
2.34, 298.81, 76.18
2.43, 298.72, 76.42
2.34, 298.81, 76.66
2.43, 298.72, 76.9
2.34, 298.81, 77.15
2.34, 298.81, 77.38
2.34, 298.81, 77.62
2.34, 298.81, 77.86
2.25, 298.9, 78.09
2.34, 298.81, 78.32
2.34, 298.81, 78.56
2.34, 298.81, 78.8
2.34, 298.81, 79.03
2.34, 298.81, 79.27
2.34, 298.81, 79.51
2.34, 298.81, 79.74
2.34, 298.81, 79.98
2.34, 298.81, 80.22
2.34, 298.81, 80.45
2.34, 298.81, 80.69
2.34, 298.81, 80.93
2.34, 298.81, 81.17
2.34, 298.81, 81.4
2.34, 298.81, 81.64
2.34, 298.81, 81.88
2.34, 298.81, 82.12
2.25, 298.9, 82.35
2.25, 298.9, 82.58
2.25, 298.9, 82.8
2.25, 298.9, 83.03
2.34, 298.81, 83.26
2.34, 298.81, 83.5
2.34, 298.81, 83.74
2.34, 298.81, 83.98
2.34, 298.81, 84.21
2.25, 298.9, 84.45
2.34, 298.81, 84.68
2.25, 298.9, 84.91
2.25, 298.9, 85.14
2.25, 298.9, 85.37
2.34, 298.81, 85.6
2.25, 298.9, 85.83
2.25, 298.9, 86.06
2.25, 298.9, 86.29
2.25, 298.9, 86.52
2.34, 298.81, 86.75
2.25, 298.9, 86.98
2.25, 298.9, 87.21
2.34, 298.81, 87.44
2.25, 298.9, 87.67
2.25, 298.9, 87.9
2.25, 298.9, 88.13
2.25, 298.9, 88.36
2.25, 298.9, 88.59
2.34, 298.81, 88.82
2.25, 298.9, 89.05
2.25, 298.9, 89.28
2.25, 298.9, 89.51
2.25, 298.9, 89.74
2.25, 298.9, 89.97
2.25, 298.9, 90.19
2.25, 298.9, 90.42
2.25, 298.9, 90.65
2.34, 298.81, 90.88
2.25, 298.9, 91.11
2.25, 298.9, 91.34
2.25, 298.9, 91.57
2.16, 298.99, 91.79
2.25, 298.9, 92.02
2.25, 298.9, 92.25
2.16, 298.99, 92.47
2.25, 298.9, 92.69
2.25, 298.9, 92.92
2.25, 298.9, 93.15
2.25, 298.9, 93.38
2.25, 298.9, 93.61
2.16, 298.99, 93.83
2.16, 298.99, 94.05
2.16, 298.99, 94.27
2.16, 298.99, 94.49
2.16, 298.99, 94.71
2.16, 298.99, 94.92
2.25, 298.9, 95.15
2.34, 298.81, 95.38
2.25, 298.9, 95.62
2.16, 298.99, 95.84
2.16, 298.99, 96.06
2.16, 298.99, 96.28
2.16, 298.99, 96.5
2.25, 298.9, 96.72
2.25, 298.9, 96.95
2.16, 298.99, 97.17
2.16, 298.99, 97.39
2.16, 298.99, 97.61
2.25, 298.9, 97.83
2.16, 298.99, 98.06
2.16, 298.99, 98.28
2.16, 298.99, 98.5
2.16, 298.99, 98.71
2.16, 298.99, 98.93
2.16, 298.99, 99.15
2.16, 298.99, 99.37
2.25, 298.9, 99.59
2.16, 298.99, 99.82
2.16, 298.99, 100.04
2.16, 298.99, 100.26
2.16, 298.99, 100.48
2.16, 298.99, 100.69
2.16, 298.99, 100.92
2.16, 298.99, 101.14
2.25, 298.9, 101.36
2.16, 298.99, 101.58
2.16, 298.99, 101.8
2.16, 298.99, 102.02
2.16, 298.99, 102.24
2.16, 298.99, 102.46
2.16, 298.99, 102.68
2.16, 298.99, 102.9
2.16, 298.99, 103.12
2.07, 299.08, 103.33
2.16, 298.99, 103.55
2.16, 298.99, 103.77
2.16, 298.99, 103.99
2.16, 298.99, 104.21
2.07, 299.08, 104.42
2.16, 298.99, 104.64
2.07, 299.08, 104.85
2.16, 298.99, 105.07
2.16, 298.99, 105.29
2.07, 299.08, 105.5
2.16, 298.99, 105.71
2.16, 298.99, 105.94
2.16, 298.99, 106.16
2.16, 298.99, 106.37
2.16, 298.99, 106.59
2.16, 298.99, 106.81
2.07, 299.08, 107.03
2.07, 299.08, 107.24
2.16, 298.99, 107.45
2.16, 298.99, 107.67
2.16, 298.99, 107.89
2.16, 298.99, 108.11
2.07, 299.08, 108.33
2.16, 298.99, 108.54
2.16, 298.99, 108.76
2.07, 299.08, 108.98
2.07, 299.08, 109.19
2.07, 299.08, 109.4
2.07, 299.08, 109.61
2.07, 299.08, 109.82
2.07, 299.08, 110.03
2.16, 298.99, 110.24
2.07, 299.08, 110.46
2.16, 298.99, 110.67
2.07, 299.08, 110.89
2.07, 299.08, 111.1
2.07, 299.08, 111.31
1.98, 299.17, 111.52
2.07, 299.08, 111.72
2.07, 299.08, 111.93
2.07, 299.08, 112.14
1.98, 299.17, 112.35
2.07, 299.08, 112.55
2.07, 299.08, 112.77
2.07, 299.08, 112.97
2.07, 299.08, 113.19
2.07, 299.08, 113.4
2.07, 299.08, 113.61
2.07, 299.08, 113.82
2.07, 299.08, 114.03
2.07, 299.08, 114.24
2.07, 299.08, 114.45
2.07, 299.08, 114.66
1.98, 299.17, 114.86
2.07, 299.08, 115.07
1.98, 299.17, 115.27
1.98, 299.17, 115.47
1.98, 299.17, 115.68
1.98, 299.17, 115.88
2.07, 299.08, 116.08
2.07, 299.08, 116.29
2.07, 299.08, 116.5
2.07, 299.08, 116.71
2.07, 299.08, 116.92
2.07, 299.08, 117.13
1.98, 299.17, 117.34
1.98, 299.17, 117.54
1.98, 299.17, 117.74
1.98, 299.17, 117.94
1.98, 299.17, 118.15
1.98, 299.17, 118.35
1.98, 299.17, 118.55
1.98, 299.17, 118.75
1.98, 299.17, 118.95
1.98, 299.17, 119.15
1.98, 299.17, 119.35
1.98, 299.17, 119.56
1.98, 299.17, 119.76
1.98, 299.17, 119.96
1.98, 299.17, 120.16
1.98, 299.17, 120.36
1.98, 299.17, 120.56
1.98, 299.17, 120.77
1.98, 299.17, 120.97
1.98, 299.17, 121.17
1.9, 299.25, 121.36
1.9, 299.25, 121.56
1.98, 299.17, 121.75
1.98, 299.17, 121.95
1.98, 299.17, 122.16
1.98, 299.17, 122.36
1.98, 299.17, 122.56
1.98, 299.17, 122.76
1.98, 299.17, 122.96
1.9, 299.25, 123.16
1.9, 299.25, 123.35
1.9, 299.25, 123.55
1.98, 299.17, 123.74
1.98, 299.17, 123.94
1.98, 299.17, 124.14
1.9, 299.25, 124.34
1.98, 299.17, 124.54
1.9, 299.25, 124.73
1.9, 299.25, 124.93
1.9, 299.25, 125.12
1.9, 299.25, 125.31
1.9, 299.25, 125.51
1.9, 299.25, 125.7
1.9, 299.25, 125.89
1.9, 299.25, 126.08
1.9, 299.25, 126.27
1.9, 299.25, 126.47
1.9, 299.25, 126.66
1.9, 299.25, 126.85
1.9, 299.25, 127.04
1.9, 299.25, 127.24
1.9, 299.25, 127.43
1.9, 299.25, 127.62
1.9, 299.25, 127.81
1.9, 299.25, 128.01
1.9, 299.25, 128.2
1.9, 299.25, 128.39
1.9, 299.25, 128.58
1.9, 299.25, 128.78
1.9, 299.25, 128.97
1.9, 299.25, 129.16
1.9, 299.25, 129.35
1.9, 299.25, 129.55
1.9, 299.25, 129.74
1.9, 299.25, 129.93
1.9, 299.25, 130.12
1.9, 299.25, 130.32
1.9, 299.25, 130.51
1.9, 299.25, 130.7
1.9, 299.25, 130.89
