erro, temperatura atual, integral
2.78, 298.37, 65.67
2.87, 298.28, 65.96
2.78, 298.37, 66.25
2.78, 298.37, 66.53
2.78, 298.37, 66.81
2.78, 298.37, 67.09
2.78, 298.37, 67.37
2.78, 298.37, 67.65
2.78, 298.37, 67.94
2.78, 298.37, 68.22
2.78, 298.37, 68.5
2.78, 298.37, 68.78
2.78, 298.37, 69.07
2.78, 298.37, 69.35
2.78, 298.37, 69.63
2.78, 298.37, 69.91
2.78, 298.37, 70.2
2.78, 298.37, 70.48
2.78, 298.37, 70.76
2.78, 298.37, 71.04
2.78, 298.37, 71.32
2.78, 298.37, 71.6
2.78, 298.37, 71.89
2.78, 298.37, 72.17
2.78, 298.37, 72.45
2.78, 298.37, 72.73
2.78, 298.37, 73.01
2.78, 298.37, 73.29
2.78, 298.37, 73.58
2.78, 298.37, 73.86
2.78, 298.37, 74.14
2.78, 298.37, 74.42
2.78, 298.37, 74.7
2.78, 298.37, 74.99
2.78, 298.37, 75.27
2.78, 298.37, 75.55
2.78, 298.37, 75.83
2.78, 298.37, 76.11
2.78, 298.37, 76.4
2.78, 298.37, 76.68
2.78, 298.37, 76.96
2.78, 298.37, 77.25
2.69, 298.46, 77.52
2.78, 298.37, 77.8
2.78, 298.37, 78.08
2.78, 298.37, 78.36
2.78, 298.37, 78.65
2.78, 298.37, 78.93
2.78, 298.37, 79.21
2.78, 298.37, 79.5
2.78, 298.37, 79.78
2.78, 298.37, 80.06
2.69, 298.46, 80.34
2.78, 298.37, 80.61
2.69, 298.46, 80.89
2.69, 298.46, 81.17
2.78, 298.37, 81.44
2.78, 298.37, 81.73
2.78, 298.37, 82.01
2.78, 298.37, 82.29
2.78, 298.37, 82.57
2.69, 298.46, 82.85
2.69, 298.46, 83.13
2.69, 298.46, 83.4
2.69, 298.46, 83.67
2.69, 298.46, 83.95
2.69, 298.46, 84.22
2.69, 298.46, 84.49
2.69, 298.46, 84.76
2.69, 298.46, 85.04
2.78, 298.37, 85.32
